tournament,date,series,court,surface,round,best_of,player_1,player_2,winner,rank_1,rank_2,source,set_scores,set1_player1,set1_player2,set2_player1,set2_player2,set3_player1,set3_player2,set4_player1,set4_player2,set5_player1,set5_player2
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,CILIC M.,MOUTET C.,CILIC M.,39,70,ATP,"['6-3', '6-2', '6-4']",6,3,6,2,6,4,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,GOMBOS N.,DAVIDOVICH FOKINA A.,DAVIDOVICH FOKINA A.,113,88,ATP,"['6-4', '4-6', '6-2', '3-6', '2-6']",6,4,4,6,6,2,3,6,2,6
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,HURKACZ H.,NOVAK D.,HURKACZ H.,31,99,ATP,"['6-7', '1-6', '6-2', '6-3', '6-4']",6,7,1,6,6,2,6,3,6,4
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,GUNNESWARAN P.,ITO T.,ITO T.,123,146,ATP,"['4-6', '2-6', '5-7']",4,6,2,6,5,7,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,MILLMAN J.,HUMBERT U.,MILLMAN J.,47,43,ATP,"['7-6', '6-3', '1-6', '7-5']",7,6,6,3,1,6,7,5,-1,-1
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,STEBE C.M.,PAIRE B.,PAIRE B.,154,21,ATP,"['4-6', '6-3', '3-6', '7-6', '0-6']",4,6,6,3,3,6,7,6,0,6
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,SCHWARTZMAN D.,HARRIS L.,SCHWARTZMAN D.,14,72,ATP,"['6-4', '6-2', '6-2']",6,4,6,2,6,2,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,LOPEZ F.,BAUTISTA AGUT R.,BAUTISTA AGUT R.,57,9,ATP,"['2-6', '2-6', '5-7']",2,6,2,6,5,7,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,FOGNINI F.,OPELKA R.,FOGNINI F.,12,38,ATP,"['3-6', '6-7', '6-4', '6-3', '7-6']",3,6,6,7,6,4,6,3,7,6
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,PURCELL M.,SINNER J.,SINNER J.,216,82,ATP,"['6-7', '2-6', '4-6']",6,7,2,6,4,6,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,LAJOVIC D.,EDMUND K.,LAJOVIC D.,27,65,ATP,"['7-6', '6-3', '7-6']",7,6,6,3,7,6,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,KUKUSHKIN M.,POLMANS M.,POLMANS M.,68,133,ATP,"['4-6', '3-6', '6-4', '7-6', '4-6']",4,6,3,6,6,4,7,6,4,6
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,RAONIC M.,GIUSTINO L.,RAONIC M.,35,150,ATP,"['6-2', '6-1', '6-3']",6,2,6,1,6,3,-1,-1,-1,-1
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,MAYER L.,PAUL T.,PAUL T.,101,80,ATP,"['6-4', '4-6', '4-6', '4-6']",6,4,4,6,4,6,4,6,-1,-1
AUSTRALIAN OPEN,2020-01-21,GRAND SLAM,OUTDOOR,HARD,1ST ROUND,5,KHACHANOV K.,VILELLA MARTINEZ M.,KHACHANOV K.,17,196,ATP,"['4-6', '6-4', '7-6', '6-3']",4,6,6,4,7,6,6,3,-1,-1
